KEY,English,Portuguese,
ORBS_FROM_POINTS,Orbs from points,Orbes por pontos,
TOTAL_ORBS,Total Orbs,Orbes Totais,
YES,YES,SIM,
NO,NO,NÃO,
LANGUAGE,LANGUAGE,IDIOMA,
HOW_TO_PLAY,HOW TO PLAY,COMO JOGAR,
DOUBLE_TAP_QUIT,Double tap anywhere to quit,"Toque duas vezes, em qualquer lugar, para sair do jogo",
MORE_GAMES,MORE GAMES,MAIS JOGOS,
PORTUGUESE,PORTUGUESE,PORTUGUÊS,
ENGLISH,ENGLISH,INGLÊS,
SPECIAL,SPECIAL,ESPECIAL,
HIGH_SCORE,HIGH SCORE,MELHOR PONTUAÇÃO,
BOSSES,BOSSES,CHEFÕES,
COMING_SOON,COMING SOON,EM BREVE,
SECONDS,seconds,segundos,
ACHIEVEMENT_DESTROY_CREEPS_TITLE1,Welcome to Creepy Buster,Bem-vindo ao Creepy Buster,
ACHIEVEMENT_DESTROY_CREEPS_TITLE2,We're just getting started,Este é só o começo,
ACHIEVEMENT_DESTROY_CREEPS_TITLE3,You shall not pass!,Não vai subir ninguém!,
ACHIEVEMENT_DESTROY_CREEPS_TITLE4,Berserker,Enfurecido,
ACHIEVEMENT_DESTROY_CREEPS_TITLE5,Creepy Master,Mestre dos Creepys,
ACHIEVEMENT_DESTROY_CREEPS_DESCRIPTION,Kill {0} creepies,Destruir {0} creepys,
ACHIEVEMENT_DESTROY_BASIC_TITLE,You give me the Blu-es,Blu-á! Chola mais!,
ACHIEVEMENT_DESTROY_BASIC_DESCRIPTION,Kill {0} Blu creepies,Destruir {0} creepys Blu,
ACHIEVEMENT_DESTROY_BOOMERANG_TITLE,"You spin me like a record, baby","ÔE! Rodando, rodando!",
ACHIEVEMENT_DESTROY_BOOMERANG_DESCRIPTION,Kill {0} Spiral creepies,Destruir {0} creepys Spiral,
ACHIEVEMENT_DESTROY_ZIGZAG_TITLE,Ziggy played guitar,"Zigue, zague, bum! Não vai a lugar nenhum",
ACHIEVEMENT_DESTROY_ZIGZAG_DESCRIPTION,Kill {0} Ziggy creepies,Destruir {0} creepys Ziggy,
ACHIEVEMENT_DESTROY_CHARGER_TITLE,I hate Chargers,Eu odeio Chargers,
ACHIEVEMENT_DESTROY_CHARGER_DESCRIPTION,Kill {0} Charger creepies,Destruir {0} creepys Charger,
ACHIEVEMENT_DESTROY_LEGION_TITLE,Legion... wait for it... Dary!,Legion... Espere aí... Dário!,
ACHIEVEMENT_DESTROY_LEGION_DESCRIPTION,Kill {0} Legion creepies,Destruir {0} creepys Legion,
ACHIEVEMENT_DESTROY_FOLLOWER_TITLE,Unfollow,Sai do meu pé,
ACHIEVEMENT_DESTROY_FOLLOWER_DESCRIPTION,Kill {0} Follower creepies,Destruir {0} creepys Follower,
ACHIEVEMENT_BOSS1_TITLE,Pegasus Meteor Fist,"Me dê sua força, Pégaso!",
ACHIEVEMENT_BOSS1_DESCRIPTION,Kill Meteormite,Destruir Meteormite,
ACHIEVEMENT_BOSS2_TITLE,Prepare for trouble. Make it double!,Prepare-se para encrenca. Encrenca em dobro!,
ACHIEVEMENT_BOSS2_DESCRIPTION,Kill Legiworm,Destruir Legiworm,
ACHIEVEMENT_BOSS3_TITLE,Master of Illusions,Mestre das Ilusões,
ACHIEVEMENT_BOSS3_DESCRIPTION,Kill Psyquor,Destruir Psyquor,
ACHIEVEMENT_STREAK_TITLE,Rampage,Onda de destruição,
ACHIEVEMENT_STREAK_DESCRIPTION,Kill {0} creepies without getting hit,Destruir {0} creepys sem tomar dano,
ACHIEVEMENT_POINTS_TITLE1,Average player?,Jogador comum?,
ACHIEVEMENT_POINTS_TITLE2,Not bad,Nada mal,
ACHIEVEMENT_POINTS_TITLE3,Effort Value!,Esforço recompensado!,
ACHIEVEMENT_POINTS_TITLE4,Like a Boss,Tô Patrão,
ACHIEVEMENT_POINTS_TITLE5,IMPOSSIBRU!1!!1,NÃO PODE SE!1!!1,
ACHIEVEMENT_POINTS_DESCRIPTION,Reach {0} points,Alcance {0} pontos,
ACHIEVEMENT_HOURS_TITLE1,Victory Road,Caminho para a vitória,
ACHIEVEMENT_HOURS_TITLE2,Creepy adictive,Viciado em creepy,
ACHIEVEMENT_HOURS_DESCRIPTION,Complete {0} game hours,Complete {0} horas de jogo,
ACHIEVEMENT_PLAYS_TITLE1,This is cool!,Isso é demais!,
ACHIEVEMENT_PLAYS_TITLE2,"Can't complain, you know?","Não tenho do que reclamar, sabe?",
ACHIEVEMENT_PLAYS_TITLE3,I can't get rid of these creepys!,Não consigo me livrar desses creepys!,
ACHIEVEMENT_PLAYS_TITLE4,Overly attached player,Jogador grudento,
ACHIEVEMENT_PLAYS_TITLE5,We got a badass over here,"Ui, calma aí, campeão",
ACHIEVEMENT_PLAYS_DESCRIPTION,Play {0} games,Jogar {0} partidas,
ACHIEVEMENT_ENERGY_TITLE,1.21 Gigawatts,"1,21 Gigawatts",
ACHIEVEMENT_ENERGY_DESCRIPTION,Use 1.21 GW of energy with your ray,Gastar 1,21 GW de energia com o seu raio
ACHIEVEMENT_UPGRADES_TITLE,I wanna be the very best!,Temos que pegar!,
ACHIEVEMENT_UPGRADES_DESCRIPTION,Buy all upgrades in the store,Comprar todos os upgrades da loja,
ACHIEVEMENT_LEFTRIGHT_TITLE,Was this really necessary?,Precisava disso?,
ACHIEVEMENT_LEFTRIGHT_DESCRIPTION,Stay {0} seconds straight on the right or left side of the screen,Ficar {0} segundos seguidos do lado direito ou esquerdo da tela,
ACHIEVEMENT_MENU_TITLE,What are you waiting for?,Tá esperando o quê?,
ACHIEVEMENT_MENU_DESCRIPTION,Stay {0} minutes straight on the menu,Ficar {0} minutos seguidos no menu,
ACHIEVEMENT_UNLOCKED,"You have just unlocked ""{0}"". You earned {1} orbs","Você acabou de desbloquear ""{0}"". Você ganhou {1} orbes",
CREEPS_KILLED,Creepies killed,Creepys mortos,
AVERAGE_CREEPS_KILLED,Average Creepies killed,Média de Creepys mortos,
BASIC_KILLED,Blu killed,Blu destruídos,
BOOMERANG_KILLED,Spiral killed,Spiral destruídos,
ZIGZAG_KILLED,Ziggy killed,Ziggy destruídos,
CHARGER_KILLED,Charger killed,Charger destruídos,
LEGION_KILLED,Legion killed,Legion destruídos,
FOLLOWER_KILLED,Follower killed,Follower destruídos,
BOSS1_KILLED,Meteormite killed,Meteormite destruídos,
BOSS2_KILLED,Legiworm killed,Legiworm destruídos,
BOSS3_KILLED,Psyquor killed,Psyquor destruídos,
ORBS_SPENT,Orbs spent,Orbes gastas,
ORBS_MISSED, Orbs missed,Orbes perdidas,
TIME_IN_GAME,Time in game,Tempo de jogo,
ENERGY_SPENT,Energy spent,Energia gasta,
MATCHES_PLAYED,Matches played,Partidas jogadas,
BOSS_ENCOUNTERS,Boss encounters,Lutas com chefões,
FROZEN_COLLECTED,Freeze collected,Congelar coletados,
LEVEL_UP_COLLECTED,Level Up collected,Subir de Nível coletados,
INVENCIBILITY_COLLECTED,Invincibility collected,Invencibilidade coletadas,
DEATH_RAY_COLLECTED,Death Ray collected,Raio da Morte coletados,
POWER_UPS_COLLECTED,Power Up collected,Power Up coletados,
POWER_UPS_MISSED,Power Up missed,Power Up perdidos,
HITS_BY_BASIC,Hit by Blu,Atingido pelo Blu,
HITS_BY_BOOMERANG,Hit by Spiral,Atingido pelo Spiral,
HITS_BY_ZIGZAG,Hit by Ziggy,Atingido pelo Ziggy,
HITS_BY_CHARGER,Hit by Charger,Atingido pelo Charger,
HITS_BY_LEGION,Hit by Legion,Atingido pelo Legion,
HITS_BY_FOLLOWER,Hit by Follower,Atingido pelo Follower,
HITS_BY_BOSS1,Hit by Meteormite,Atingido pelo Meteormite,
HITS_BY_BOSS2,Hit by Legiworm,Atingido pelo Legiworm,
HITS_BY_BOSS3,Hit by Psyquor,Atingido pelo Psyquor,
HITS_TAKEN,Hits taken,No. de vezes atingido,
LONGEST_MATCH,Longest match,Partida mais longa,
AVERAGE_MATCH_TIME,Average match time,Tempo médio de partida,
ENEMIES_MISSED,Enemies missed,Inimigos sobreviventes,
LONGEST_KILL_STREAK,Longest kill streak,Maior onda de destruição,
TIME_ON_LEFT_SIDE,Time on left side,Tempo no lado esquerdo,
TIME_ON_RIGHT_SIDE,Time on right side,Tempo no lado direito,
TIME_ON_SPECIAL1,Time on special 1,Tempo no especial 1,
TIME_ON_SPECIAL2,Time on special 2,Tempo no especial 2,
TIME_ON_SPECIAL3,Time on special 3,Tempo no especial 3,
TIME_ON_SPECIAL4,Time on special 4,Tempo no especial 4,
TIME_ON_SPECIAL5,Time on special 5,Tempo no especial 5,
TIME_ON_SPECIAL6,Time on special 6,Tempo no especial 6,
RATE_US,"Did you enjoy the game? Please, rate us","Gostou do jogo? Por favor, nos avalie",
HOW_TO_PLAY1,Stay close to hit enemies.,Fique próximo dos inimigos para acertá-los,
HOW_TO_PLAY2,Each kill fills your special bar. Each level improves your ray.,Cada creepy destruído encherá seu especial. Cada level aprimora seu raio.,
HOW_TO_PLAY3,"Don't get too close, though.",Mas não chegue muito perto.,
HOW_TO_PLAY4,"If you get hit, you lose one special level. If you are already at special 1, it's GAME OVER.","Se for atingido, você perderá um nível de especial. Se já estiver no especial 1, é FIM DE JOGO.",
HOW_TO_PLAY5,You can colect orbs in the game and use them to upgrade your power.,Você pode coletar orbes no jogo e usá-las para aumentar o seu poder.,
HOW_TO_PLAY6,Collect power ups to help you in battle.,Colete os Power Ups para te ajudar nas batalhas.,
FROZEN_DESCRIPTION,Freeze all enemies on screen for a few seconds,Congela todos os inimigo na tela por alguns segundos,
LEVEL_UP_DESCRIPTION,Raise 1 special immediately,Aumenta 1 especial imediatamente,
DEATH_RAY_DESCRIPTION,Kill all enemies on screen,Destrói todos os inimigos na tela,
INVENCIBILITY_DESCRIPTION,Become invincible for a few seconds,Ganha alguns segundos de invencibilidade,
NOT_LOGGED,Not logged in,Você não está logado,
GAME_OVER,GAME OVER,FIM DE JOGO,
SCORE,SCORE,PONTUAÇÃO,
BATTLE_STATS,BATTLE STATS,ESTATÍSTICAS,
WATCH_REPLAY,WATCH REPLAY,ASSISTA AO REPLAY,
ORB_REWARD,PLASMA ORB REWARD,RECOMPENSA DE ORBE DE PLASMA,
DOUBLE_REWARD,DOUBLE YOUR REWARD,DOBRE SUA RECOMPENSA,
SHOP,SHOP,LOJA,
LEVEL,LEVEL,NÍVEL,
BUY_ITEM,"Do you want to buy ""{0}"" for {1} orbs?","Você quer comprar ""{0}"" por {1} orbes?",
STORE_NOT_ENOUGH_ORBS,You don't have enough orbs. You need {0} more orbs to buy this item.,Você não tem orbes suficientes. Você precisa de mais {0} orbes para poder comprar este item.,
UPGRADES,UPGRADES,MELHORIAS,
PACKS,PACKS,PACOTES,
SMALL_PACK,SMALL PACK,PACOTE PEQUENO,
MEDIUM_PACK,MEDIUM PACK,PACOTE MÉDIO,
BIG_PACK,BIG PACK,PACOTE GRANDE,
GIANT_PACK,GIANT PACK,PACOTE GIGANTE,
MONSTER_PACK,MONSTER PACK,PACOTE MONSTRO,
DOUBLE_ORBS,DOUBLE ORBS,ORBES EM DOBRO,
AD_REMOVER,+ AD REMOVER,+ REMOVER PROPAGANDAS,
LOCKED,LOCKED,BLOQUEADO,
FACEBOOK_LOGIN,Login with Facebook,Logue-se com o Facebook,
TUTORIAL_ADD,See more on HOW TO PLAY.,Saiba mais em COMO JOGAR.,
EVERYPLAY_ERROR,Couldn't record this time,Não foi possível fazer a gravação neste momento
ADS_FAILED,Ads loading failed, Propaganda não pode ser carregada
QUIT_GAME,Are you sure you want to quit?,Tem certeza de que deseja sair do jogo?
PROCESSING,Processing,Processando
RESTORE_SUCCESS,Products have been successfully restored,Produtos restaurados com sucesso
RESTORE_FAILED,Restoration failed,Falha na restauração
PLASMA_ORBS,PLASMA ORBS,ORBES DE PLASMA
HOLD_TO_CONTINUE,Hold to continue,Segure para continuar
GAME_PAUSED,GAME PAUSED,JOGO PAUSADO
